status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_group,amount_group
بدون حساب جاری,6,بدون وام/همه پرداخت شده,رادیو/تلویزیون,426,A61,بیشتر از ۷ سال,4,مرد متاهل/بیوه,A101,4,A123,39,A143,A152,1,کارگر ساده,1,A191,A201,1,45-36,کمتر از 1000
بیشتر از ۲۰۰ مارک,12,همه پرداخت شده,رادیو/تلویزیون,409,A64,۱-۴ سال,3,زن مطلقه/جدا شده/متاهل,A101,3,A121,42,A143,A151,2,کارگر ماهر,1,A191,A201,1,45-36,کمتر از 1000
۰-۲۰۰ مارک,7,وام های موجود پرداخت شده,رادیو/تلویزیون,2415,A61,۱-۴ سال,3,مرد مجرد,A103,2,A121,34,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
کمتر از ۰ مارک,60,تاخیر پرداخت شده,کسب و کار,6836,A61,بیشتر از ۷ سال,3,مرد مجرد,A101,4,A124,63,A143,A152,2,کارگر ماهر,1,A192,A201,0,65-56,10000-5000
۰-۲۰۰ مارک,18,وام های موجود پرداخت شده,کسب و کار,1913,A64,کمتر از ۱ سال,3,مرد متاهل/بیوه,A101,3,A121,36,A141,A152,1,کارگر ماهر,1,A192,A201,1,45-36,2000-1000
کمتر از ۰ مارک,24,وام های موجود پرداخت شده,لوازم خانگی,4020,A61,۱-۴ سال,2,مرد مجرد,A101,2,A123,27,A142,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,18,وام های موجود پرداخت شده,خودرو (نو),5866,A62,۱-۴ سال,2,مرد مجرد,A101,2,A123,30,A143,A152,2,کارگر ماهر,1,A192,A201,1,35-26,10000-5000
بدون حساب جاری,12,وضعیت بحرانی/سایر,کسب و کار,1264,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A124,57,A143,A151,1,کارگر ساده,1,A191,A201,1,65-56,2000-1000
بیشتر از ۲۰۰ مارک,12,وام های موجود پرداخت شده,لوازم خانگی,1474,A61,کمتر از ۱ سال,4,زن مطلقه/جدا شده/متاهل,A101,1,A122,33,A141,A152,1,مدیر/خویش فرما,1,A192,A201,1,35-26,2000-1000
۰-۲۰۰ مارک,45,وضعیت بحرانی/سایر,رادیو/تلویزیون,4746,A61,کمتر از ۱ سال,4,مرد مجرد,A101,2,A122,25,A143,A152,2,کارگر ساده,1,A191,A201,0,25-18,5000-2000
بدون حساب جاری,48,وضعیت بحرانی/سایر,آموزش,6110,A61,۱-۴ سال,1,مرد مجرد,A101,3,A124,31,A141,A153,1,کارگر ماهر,1,A192,A201,1,35-26,10000-5000
بیشتر از ۲۰۰ مارک,18,وام های موجود پرداخت شده,رادیو/تلویزیون,2100,A61,۱-۴ سال,4,مرد مجرد,A102,2,A121,37,A142,A152,1,کارگر ماهر,1,A191,A201,0,45-36,5000-2000
بیشتر از ۲۰۰ مارک,10,وام های موجود پرداخت شده,وسایل خانه,1225,A61,۱-۴ سال,2,مرد مجرد,A101,2,A123,37,A143,A152,1,کارگر ماهر,1,A192,A201,1,45-36,2000-1000
۰-۲۰۰ مارک,9,وام های موجود پرداخت شده,رادیو/تلویزیون,458,A61,۱-۴ سال,4,مرد مجرد,A101,3,A121,24,A143,A152,1,کارگر ماهر,1,A191,A201,1,25-18,کمتر از 1000
بدون حساب جاری,30,وام های موجود پرداخت شده,رادیو/تلویزیون,2333,A63,بیشتر از ۷ سال,4,مرد مجرد,A101,2,A123,30,A141,A152,1,مدیر/خویش فرما,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,12,وام های موجود پرداخت شده,رادیو/تلویزیون,1158,A63,۱-۴ سال,3,مرد مطلقه/جدا شده,A101,1,A123,26,A143,A152,1,کارگر ماهر,1,A192,A201,1,35-26,2000-1000
۰-۲۰۰ مارک,18,تاخیر پرداخت شده,تعمیرات,6204,A61,۱-۴ سال,2,مرد مجرد,A101,4,A121,44,A143,A152,1,کارگر ساده,2,A192,A201,1,45-36,10000-5000
کمتر از ۰ مارک,30,وضعیت بحرانی/سایر,خودرو (کارکرده),6187,A62,۴-۷ سال,1,مرد متاهل/بیوه,A101,4,A123,24,A143,A151,2,کارگر ماهر,1,A191,A201,1,25-18,10000-5000
کمتر از ۰ مارک,48,وضعیت بحرانی/سایر,خودرو (کارکرده),6143,A61,بیشتر از ۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A124,58,A142,A153,2,کارگر ساده,1,A191,A201,0,65-56,10000-5000
بدون حساب جاری,11,وضعیت بحرانی/سایر,خودرو (نو),1393,A61,کمتر از ۱ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A123,35,A143,A152,2,مدیر/خویش فرما,1,A191,A201,1,35-26,2000-1000
بدون حساب جاری,36,وام های موجود پرداخت شده,رادیو/تلویزیون,2299,A63,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A123,39,A143,A152,1,کارگر ماهر,1,A191,A201,1,45-36,5000-2000
کمتر از ۰ مارک,6,وام های موجود پرداخت شده,خودرو (کارکرده),1352,A63,بیکار,1,زن مطلقه/جدا شده/متاهل,A101,2,A122,23,A143,A151,1,بیکار,1,A192,A201,1,25-18,2000-1000
بدون حساب جاری,11,وضعیت بحرانی/سایر,خودرو (نو),7228,A61,۱-۴ سال,1,مرد مجرد,A101,4,A122,39,A143,A152,2,کارگر ساده,1,A191,A201,1,45-36,10000-5000
بدون حساب جاری,12,وام های موجود پرداخت شده,رادیو/تلویزیون,2073,A62,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A102,2,A121,28,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,24,تاخیر پرداخت شده,لوازم خانگی,2333,A65,کمتر از ۱ سال,4,مرد مجرد,A101,2,A122,29,A141,A152,1,کارگر ساده,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,27,تاخیر پرداخت شده,خودرو (کارکرده),5965,A61,بیشتر از ۷ سال,1,مرد مجرد,A101,2,A123,30,A143,A152,2,مدیر/خویش فرما,1,A192,A201,1,35-26,10000-5000
بدون حساب جاری,12,وام های موجود پرداخت شده,رادیو/تلویزیون,1262,A61,۱-۴ سال,3,مرد مجرد,A101,2,A123,25,A143,A152,1,کارگر ماهر,1,A191,A201,1,25-18,2000-1000
بدون حساب جاری,18,وام های موجود پرداخت شده,خودرو (کارکرده),3378,A65,۱-۴ سال,2,مرد مجرد,A101,1,A122,31,A143,A152,1,کارگر ماهر,1,A192,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,36,تاخیر پرداخت شده,خودرو (نو),2225,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A124,57,A141,A153,2,کارگر ماهر,1,A192,A201,0,65-56,5000-2000
بدون حساب جاری,6,همه پرداخت شده,خودرو (نو),783,A65,۱-۴ سال,1,مرد مجرد,A103,2,A121,26,A142,A152,1,کارگر ساده,2,A191,A201,1,35-26,کمتر از 1000
۰-۲۰۰ مارک,12,وام های موجود پرداخت شده,رادیو/تلویزیون,6468,A65,بیکار,2,مرد مجرد,A101,1,A124,52,A143,A152,1,مدیر/خویش فرما,1,A192,A201,0,55-46,10000-5000
بدون حساب جاری,36,وضعیت بحرانی/سایر,رادیو/تلویزیون,9566,A61,۱-۴ سال,2,زن مطلقه/جدا شده/متاهل,A101,2,A123,31,A142,A152,2,کارگر ماهر,1,A191,A201,1,35-26,10000-5000
بیشتر از ۲۰۰ مارک,18,وام های موجود پرداخت شده,خودرو (نو),1961,A61,بیشتر از ۷ سال,3,زن مطلقه/جدا شده/متاهل,A101,2,A123,23,A143,A152,1,مدیر/خویش فرما,1,A191,A201,1,25-18,2000-1000
کمتر از ۰ مارک,36,وضعیت بحرانی/سایر,لوازم خانگی,6229,A61,کمتر از ۱ سال,4,زن مطلقه/جدا شده/متاهل,A102,4,A124,23,A143,A151,2,کارگر ساده,1,A192,A201,0,25-18,10000-5000
۰-۲۰۰ مارک,9,وام های موجود پرداخت شده,کسب و کار,1391,A61,۱-۴ سال,2,مرد متاهل/بیوه,A101,1,A121,27,A141,A152,1,کارگر ماهر,1,A192,A201,1,35-26,2000-1000
۰-۲۰۰ مارک,15,وضعیت بحرانی/سایر,رادیو/تلویزیون,1537,A65,بیشتر از ۷ سال,4,مرد مجرد,A103,4,A121,50,A143,A152,2,کارگر ماهر,1,A192,A201,1,55-46,2000-1000
۰-۲۰۰ مارک,36,بدون وام/همه پرداخت شده,کسب و کار,1953,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A124,61,A143,A153,1,مدیر/خویش فرما,1,A192,A201,0,65-56,2000-1000
۰-۲۰۰ مارک,48,بدون وام/همه پرداخت شده,کسب و کار,14421,A61,۱-۴ سال,2,مرد مجرد,A101,2,A123,25,A143,A152,1,کارگر ماهر,1,A192,A201,0,25-18,بیشتر از 10000
بدون حساب جاری,24,وام های موجود پرداخت شده,رادیو/تلویزیون,3181,A61,کمتر از ۱ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A122,26,A143,A152,1,کارگر ماهر,1,A192,A201,1,35-26,5000-2000
بدون حساب جاری,27,وام های موجود پرداخت شده,تعمیرات,5190,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A122,48,A143,A152,4,کارگر ماهر,2,A192,A201,1,55-46,10000-5000
بدون حساب جاری,12,وام های موجود پرداخت شده,رادیو/تلویزیون,2171,A61,کمتر از ۱ سال,2,زن مطلقه/جدا شده/متاهل,A101,2,A123,29,A141,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,12,وام های موجود پرداخت شده,خودرو (نو),1007,A64,۱-۴ سال,4,مرد متاهل/بیوه,A101,1,A121,22,A143,A152,1,کارگر ماهر,1,A191,A201,1,25-18,2000-1000
بدون حساب جاری,36,وام های موجود پرداخت شده,آموزش,1819,A61,۱-۴ سال,4,مرد مجرد,A101,4,A124,37,A142,A153,1,کارگر ماهر,1,A192,A201,0,45-36,2000-1000
بدون حساب جاری,36,وام های موجود پرداخت شده,رادیو/تلویزیون,2394,A65,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A123,25,A143,A152,1,کارگر ماهر,1,A191,A201,1,25-18,5000-2000
بدون حساب جاری,36,وام های موجود پرداخت شده,خودرو (کارکرده),8133,A61,۱-۴ سال,1,زن مطلقه/جدا شده/متاهل,A101,2,A122,30,A141,A152,1,کارگر ماهر,1,A191,A201,1,35-26,10000-5000
بدون حساب جاری,7,وضعیت بحرانی/سایر,رادیو/تلویزیون,730,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,2,A122,46,A143,A151,2,کارگر ساده,1,A192,A201,1,55-46,کمتر از 1000
کمتر از ۰ مارک,8,وضعیت بحرانی/سایر,سایر,1164,A61,بیشتر از ۷ سال,3,مرد مجرد,A101,4,A124,51,A141,A153,2,مدیر/خویش فرما,2,A192,A201,1,55-46,2000-1000
۰-۲۰۰ مارک,42,وضعیت بحرانی/سایر,کسب و کار,5954,A61,۴-۷ سال,2,زن مطلقه/جدا شده/متاهل,A101,1,A121,41,A141,A152,2,کارگر ساده,1,A191,A201,1,45-36,10000-5000
کمتر از ۰ مارک,36,وام های موجود پرداخت شده,آموزش,1977,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A124,40,A143,A152,1,مدیر/خویش فرما,1,A192,A201,0,45-36,2000-1000
کمتر از ۰ مارک,12,وضعیت بحرانی/سایر,خودرو (کارکرده),1526,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A124,66,A143,A153,2,مدیر/خویش فرما,1,A191,A201,1,75+,2000-1000
کمتر از ۰ مارک,42,وام های موجود پرداخت شده,رادیو/تلویزیون,3965,A61,کمتر از ۱ سال,4,مرد مجرد,A101,3,A123,34,A143,A152,1,کارگر ماهر,1,A191,A201,0,35-26,5000-2000
۰-۲۰۰ مارک,11,تاخیر پرداخت شده,رادیو/تلویزیون,4771,A61,۴-۷ سال,2,مرد مجرد,A101,4,A122,51,A143,A152,1,کارگر ماهر,1,A191,A201,1,55-46,5000-2000
بدون حساب جاری,54,بدون وام/همه پرداخت شده,خودرو (کارکرده),9436,A65,۱-۴ سال,2,مرد مجرد,A101,2,A122,39,A143,A152,1,کارگر ساده,2,A191,A201,1,45-36,10000-5000
۰-۲۰۰ مارک,30,وام های موجود پرداخت شده,لوازم خانگی,3832,A61,کمتر از ۱ سال,2,مرد متاهل/بیوه,A101,1,A122,22,A143,A152,1,کارگر ماهر,1,A191,A201,1,25-18,5000-2000
بدون حساب جاری,24,وام های موجود پرداخت شده,رادیو/تلویزیون,5943,A65,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A101,1,A123,44,A143,A152,2,کارگر ماهر,1,A192,A201,0,45-36,10000-5000
بدون حساب جاری,15,وام های موجود پرداخت شده,رادیو/تلویزیون,1213,A63,بیشتر از ۷ سال,4,مرد مجرد,A101,3,A122,47,A142,A152,1,کارگر ماهر,1,A192,A201,1,55-46,2000-1000
بدون حساب جاری,18,وام های موجود پرداخت شده,کسب و کار,1568,A62,۱-۴ سال,3,زن مطلقه/جدا شده/متاهل,A101,4,A122,24,A143,A151,1,کارگر ساده,1,A191,A201,1,25-18,2000-1000
کمتر از ۰ مارک,24,وام های موجود پرداخت شده,سایر,1755,A61,بیشتر از ۷ سال,4,زن مطلقه/جدا شده/متاهل,A103,4,A121,58,A143,A152,1,کارگر ساده,1,A192,A201,1,65-56,2000-1000
کمتر از ۰ مارک,10,وام های موجود پرداخت شده,رادیو/تلویزیون,2315,A61,بیشتر از ۷ سال,3,مرد مجرد,A101,4,A121,52,A143,A152,1,کارگر ساده,1,A191,A201,1,55-46,5000-2000
بدون حساب جاری,12,وضعیت بحرانی/سایر,کسب و کار,1412,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A103,2,A121,29,A143,A152,2,مدیر/خویش فرما,1,A192,A201,1,35-26,2000-1000
۰-۲۰۰ مارک,18,وضعیت بحرانی/سایر,لوازم خانگی,1295,A61,کمتر از ۱ سال,4,زن مطلقه/جدا شده/متاهل,A101,1,A122,27,A143,A152,2,کارگر ماهر,1,A191,A201,1,35-26,2000-1000
۰-۲۰۰ مارک,36,وام های موجود پرداخت شده,آموزش,12612,A62,۱-۴ سال,1,مرد مجرد,A101,4,A124,47,A143,A153,1,کارگر ماهر,2,A192,A201,0,55-46,بیشتر از 10000
کمتر از ۰ مارک,18,وام های موجود پرداخت شده,خودرو (نو),2249,A62,۴-۷ سال,4,مرد مجرد,A101,3,A123,30,A143,A152,1,مدیر/خویش فرما,2,A192,A201,1,35-26,5000-2000
کمتر از ۰ مارک,12,بدون وام/همه پرداخت شده,تعمیرات,1108,A61,۴-۷ سال,4,مرد مجرد,A101,3,A121,28,A143,A152,2,کارگر ماهر,1,A191,A201,0,35-26,2000-1000
بدون حساب جاری,12,وضعیت بحرانی/سایر,رادیو/تلویزیون,618,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A121,56,A143,A152,1,کارگر ماهر,1,A191,A201,1,65-56,کمتر از 1000
کمتر از ۰ مارک,12,وضعیت بحرانی/سایر,خودرو (کارکرده),1409,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,3,A121,54,A143,A152,1,کارگر ماهر,1,A191,A201,1,55-46,2000-1000
بدون حساب جاری,12,وضعیت بحرانی/سایر,رادیو/تلویزیون,797,A65,بیشتر از ۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,3,A122,33,A141,A152,1,کارگر ساده,2,A191,A201,0,35-26,کمتر از 1000
بیشتر از ۲۰۰ مارک,24,وضعیت بحرانی/سایر,لوازم خانگی,3617,A65,بیشتر از ۷ سال,4,مرد مجرد,A102,4,A124,20,A143,A151,2,کارگر ماهر,1,A191,A201,1,25-18,5000-2000
۰-۲۰۰ مارک,12,وام های موجود پرداخت شده,خودرو (نو),1318,A64,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A121,54,A143,A152,1,کارگر ماهر,1,A192,A201,1,55-46,2000-1000
۰-۲۰۰ مارک,54,بدون وام/همه پرداخت شده,کسب و کار,15945,A61,کمتر از ۱ سال,3,مرد مجرد,A101,4,A124,58,A143,A151,1,کارگر ماهر,1,A192,A201,0,65-56,بیشتر از 10000
بدون حساب جاری,12,وضعیت بحرانی/سایر,آموزش,2012,A65,۴-۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,2,A123,61,A143,A152,1,کارگر ماهر,1,A191,A201,1,65-56,5000-2000
۰-۲۰۰ مارک,18,وام های موجود پرداخت شده,کسب و کار,2622,A62,۱-۴ سال,4,مرد مجرد,A101,4,A123,34,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,36,وضعیت بحرانی/سایر,رادیو/تلویزیون,2337,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A121,36,A143,A152,1,کارگر ماهر,1,A191,A201,1,45-36,5000-2000
۰-۲۰۰ مارک,20,تاخیر پرداخت شده,خودرو (کارکرده),7057,A65,۴-۷ سال,3,مرد مجرد,A101,4,A122,36,A141,A151,2,مدیر/خویش فرما,2,A192,A201,1,45-36,10000-5000
بدون حساب جاری,24,وام های موجود پرداخت شده,خودرو (نو),1469,A62,بیشتر از ۷ سال,4,مرد متاهل/بیوه,A101,4,A121,41,A143,A151,1,کارگر ساده,1,A191,A201,1,45-36,2000-1000
۰-۲۰۰ مارک,36,وام های موجود پرداخت شده,رادیو/تلویزیون,2323,A61,۴-۷ سال,4,مرد مجرد,A101,4,A123,24,A143,A151,1,کارگر ماهر,1,A191,A201,1,25-18,5000-2000
بدون حساب جاری,6,تاخیر پرداخت شده,رادیو/تلویزیون,932,A61,۱-۴ سال,3,زن مطلقه/جدا شده/متاهل,A101,2,A121,24,A143,A152,1,کارگر ماهر,1,A191,A201,1,25-18,کمتر از 1000
۰-۲۰۰ مارک,9,وضعیت بحرانی/سایر,لوازم خانگی,1919,A61,۴-۷ سال,4,مرد مجرد,A101,3,A123,35,A143,A151,1,کارگر ماهر,1,A192,A201,1,35-26,2000-1000
بدون حساب جاری,12,وام های موجود پرداخت شده,خودرو (کارکرده),2445,A65,کمتر از ۱ سال,2,مرد متاهل/بیوه,A101,4,A123,26,A143,A151,1,کارگر ماهر,1,A192,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,24,وضعیت بحرانی/سایر,سایر,11938,A61,۱-۴ سال,2,مرد مجرد,A102,3,A123,39,A143,A152,2,مدیر/خویش فرما,2,A192,A201,0,45-36,بیشتر از 10000
بدون حساب جاری,18,همه پرداخت شده,خودرو (نو),6458,A61,بیشتر از ۷ سال,2,مرد مجرد,A101,4,A124,39,A141,A152,2,مدیر/خویش فرما,2,A192,A201,0,45-36,10000-5000
۰-۲۰۰ مارک,12,وام های موجود پرداخت شده,خودرو (نو),6078,A61,۴-۷ سال,2,مرد مجرد,A101,2,A123,32,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,10000-5000
کمتر از ۰ مارک,24,وام های موجود پرداخت شده,لوازم خانگی,7721,A65,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A101,2,A122,30,A143,A152,1,کارگر ماهر,1,A192,A202,1,35-26,10000-5000
۰-۲۰۰ مارک,14,وام های موجود پرداخت شده,کسب و کار,1410,A63,بیشتر از ۷ سال,1,مرد متاهل/بیوه,A101,2,A121,35,A143,A152,1,کارگر ماهر,1,A192,A201,1,35-26,2000-1000
۰-۲۰۰ مارک,6,تاخیر پرداخت شده,کسب و کار,1449,A62,بیشتر از ۷ سال,1,مرد مطلقه/جدا شده,A101,2,A123,31,A141,A152,2,کارگر ماهر,2,A191,A201,1,35-26,2000-1000
بیشتر از ۲۰۰ مارک,15,وام های موجود پرداخت شده,آموزش,392,A61,کمتر از ۱ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A122,23,A143,A151,1,کارگر ماهر,1,A192,A201,1,25-18,کمتر از 1000
۰-۲۰۰ مارک,18,وام های موجود پرداخت شده,خودرو (نو),6260,A61,۴-۷ سال,3,مرد مجرد,A101,3,A121,28,A143,A151,1,کارگر ساده,1,A191,A201,1,35-26,10000-5000
بدون حساب جاری,36,وضعیت بحرانی/سایر,خودرو (نو),7855,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,2,A121,25,A142,A152,2,کارگر ماهر,1,A192,A201,0,25-18,10000-5000
کمتر از ۰ مارک,12,وام های موجود پرداخت شده,رادیو/تلویزیون,1680,A63,بیشتر از ۷ سال,3,مرد متاهل/بیوه,A101,1,A121,35,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,2000-1000
بدون حساب جاری,48,وضعیت بحرانی/سایر,رادیو/تلویزیون,3578,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,1,A121,47,A143,A152,1,کارگر ماهر,1,A192,A201,1,55-46,5000-2000
کمتر از ۰ مارک,42,وام های موجود پرداخت شده,رادیو/تلویزیون,7174,A65,۴-۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,3,A123,30,A143,A152,1,مدیر/خویش فرما,1,A192,A201,0,35-26,10000-5000
کمتر از ۰ مارک,10,وضعیت بحرانی/سایر,لوازم خانگی,2132,A65,کمتر از ۱ سال,2,زن مطلقه/جدا شده/متاهل,A102,3,A121,27,A143,A151,2,کارگر ماهر,1,A191,A202,1,35-26,5000-2000
