status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_group
<0 DM,10,critical/other,car (new),2241,A61,<1 year,1,A93,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,1,46-55
0-200 DM,12,critical/other,car (used),1804,A62,<1 year,3,A93,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,1,36-45
no account,10,critical/other,furniture/equipment,2069,A65,1-4 years,2,A94,A101,1,A123,26,A143,A152,2,A173,1,A191,A202,1,26-35
<0 DM,6,existing paid,furniture/equipment,1374,A61,1-4 years,1,A93,A101,2,A121,36,A141,A152,1,A172,1,A192,A201,1,36-45
no account,6,no credits/all paid,radio/TV,426,A61,>=7 years,4,A94,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,1,36-45
>=200 DM,12,all paid,radio/TV,409,A64,1-4 years,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,1,36-45
0-200 DM,7,existing paid,radio/TV,2415,A61,1-4 years,3,A93,A103,2,A121,34,A143,A152,1,A173,1,A191,A201,1,26-35
<0 DM,60,delay paid,business,6836,A61,>=7 years,3,A93,A101,4,A124,63,A143,A152,2,A173,1,A192,A201,0,56-65
0-200 DM,18,existing paid,business,1913,A64,<1 year,3,A94,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,1,36-45
<0 DM,24,existing paid,furniture/equipment,4020,A61,1-4 years,2,A93,A101,2,A123,27,A142,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,18,existing paid,car (new),5866,A62,1-4 years,2,A93,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,1,26-35
no account,12,critical/other,business,1264,A65,>=7 years,4,A93,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,1,56-65
>=200 DM,12,existing paid,furniture/equipment,1474,A61,<1 year,4,A92,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,1,26-35
0-200 DM,45,critical/other,radio/TV,4746,A61,<1 year,4,A93,A101,2,A122,25,A143,A152,2,A172,1,A191,A201,0,18-25
no account,48,critical/other,education,6110,A61,1-4 years,1,A93,A101,3,A124,31,A141,A153,1,A173,1,A192,A201,1,26-35
>=200 DM,18,existing paid,radio/TV,2100,A61,1-4 years,4,A93,A102,2,A121,37,A142,A152,1,A173,1,A191,A201,0,36-45
>=200 DM,10,existing paid,domestic appliances,1225,A61,1-4 years,2,A93,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1,36-45
0-200 DM,9,existing paid,radio/TV,458,A61,1-4 years,4,A93,A101,3,A121,24,A143,A152,1,A173,1,A191,A201,1,18-25
no account,30,existing paid,radio/TV,2333,A63,>=7 years,4,A93,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,1,26-35
0-200 DM,12,existing paid,radio/TV,1158,A63,1-4 years,3,A91,A101,1,A123,26,A143,A152,1,A173,1,A192,A201,1,26-35
0-200 DM,18,delay paid,repairs,6204,A61,1-4 years,2,A93,A101,4,A121,44,A143,A152,1,A172,2,A192,A201,1,36-45
<0 DM,30,critical/other,car (used),6187,A62,4-7 years,1,A94,A101,4,A123,24,A143,A151,2,A173,1,A191,A201,1,18-25
<0 DM,48,critical/other,car (used),6143,A61,>=7 years,4,A92,A101,4,A124,58,A142,A153,2,A172,1,A191,A201,0,56-65
no account,11,critical/other,car (new),1393,A61,<1 year,4,A92,A101,4,A123,35,A143,A152,2,A174,1,A191,A201,1,26-35
no account,36,existing paid,radio/TV,2299,A63,>=7 years,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A191,A201,1,36-45
<0 DM,6,existing paid,car (used),1352,A63,unemployed,1,A92,A101,2,A122,23,A143,A151,1,A171,1,A192,A201,1,18-25
no account,11,critical/other,car (new),7228,A61,1-4 years,1,A93,A101,4,A122,39,A143,A152,2,A172,1,A191,A201,1,36-45
no account,12,existing paid,radio/TV,2073,A62,1-4 years,4,A92,A102,2,A121,28,A143,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,24,delay paid,furniture/equipment,2333,A65,<1 year,4,A93,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,1,26-35
0-200 DM,27,delay paid,car (used),5965,A61,>=7 years,1,A93,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,1,26-35
no account,12,existing paid,radio/TV,1262,A61,1-4 years,3,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1,18-25
no account,18,existing paid,car (used),3378,A65,1-4 years,2,A93,A101,1,A122,31,A143,A152,1,A173,1,A192,A201,1,26-35
0-200 DM,36,delay paid,car (new),2225,A61,>=7 years,4,A93,A101,4,A124,57,A141,A153,2,A173,1,A192,A201,0,56-65
no account,6,all paid,car (new),783,A65,1-4 years,1,A93,A103,2,A121,26,A142,A152,1,A172,2,A191,A201,1,26-35
0-200 DM,12,existing paid,radio/TV,6468,A65,unemployed,2,A93,A101,1,A124,52,A143,A152,1,A174,1,A192,A201,0,46-55
no account,36,critical/other,radio/TV,9566,A61,1-4 years,2,A92,A101,2,A123,31,A142,A152,2,A173,1,A191,A201,1,26-35
>=200 DM,18,existing paid,car (new),1961,A61,>=7 years,3,A92,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,1,18-25
<0 DM,36,critical/other,furniture/equipment,6229,A61,<1 year,4,A92,A102,4,A124,23,A143,A151,2,A172,1,A192,A201,0,18-25
0-200 DM,9,existing paid,business,1391,A61,1-4 years,2,A94,A101,1,A121,27,A141,A152,1,A173,1,A192,A201,1,26-35
0-200 DM,15,critical/other,radio/TV,1537,A65,>=7 years,4,A93,A103,4,A121,50,A143,A152,2,A173,1,A192,A201,1,46-55
0-200 DM,36,no credits/all paid,business,1953,A61,>=7 years,4,A93,A101,4,A124,61,A143,A153,1,A174,1,A192,A201,0,56-65
0-200 DM,48,no credits/all paid,business,14421,A61,1-4 years,2,A93,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,0,18-25
no account,24,existing paid,radio/TV,3181,A61,<1 year,4,A92,A101,4,A122,26,A143,A152,1,A173,1,A192,A201,1,26-35
no account,27,existing paid,repairs,5190,A65,>=7 years,4,A93,A101,4,A122,48,A143,A152,4,A173,2,A192,A201,1,46-55
no account,12,existing paid,radio/TV,2171,A61,<1 year,2,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,12,existing paid,car (new),1007,A64,1-4 years,4,A94,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,1,18-25
no account,36,existing paid,education,1819,A61,1-4 years,4,A93,A101,4,A124,37,A142,A153,1,A173,1,A192,A201,0,36-45
no account,36,existing paid,radio/TV,2394,A65,1-4 years,4,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,1,18-25
no account,36,existing paid,car (used),8133,A61,1-4 years,1,A92,A101,2,A122,30,A141,A152,1,A173,1,A191,A201,1,26-35
no account,7,critical/other,radio/TV,730,A65,>=7 years,4,A93,A101,2,A122,46,A143,A151,2,A172,1,A192,A201,1,46-55
<0 DM,8,critical/other,others,1164,A61,>=7 years,3,A93,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,1,46-55
0-200 DM,42,critical/other,business,5954,A61,4-7 years,2,A92,A101,1,A121,41,A141,A152,2,A172,1,A191,A201,1,36-45
<0 DM,36,existing paid,education,1977,A65,>=7 years,4,A93,A101,4,A124,40,A143,A152,1,A174,1,A192,A201,0,36-45
<0 DM,12,critical/other,car (used),1526,A61,>=7 years,4,A93,A101,4,A124,66,A143,A153,2,A174,1,A191,A201,1,66+
<0 DM,42,existing paid,radio/TV,3965,A61,<1 year,4,A93,A101,3,A123,34,A143,A152,1,A173,1,A191,A201,0,26-35
0-200 DM,11,delay paid,radio/TV,4771,A61,4-7 years,2,A93,A101,4,A122,51,A143,A152,1,A173,1,A191,A201,1,46-55
no account,54,no credits/all paid,car (used),9436,A65,1-4 years,2,A93,A101,2,A122,39,A143,A152,1,A172,2,A191,A201,1,36-45
0-200 DM,30,existing paid,furniture/equipment,3832,A61,<1 year,2,A94,A101,1,A122,22,A143,A152,1,A173,1,A191,A201,1,18-25
no account,24,existing paid,radio/TV,5943,A65,<1 year,1,A92,A101,1,A123,44,A143,A152,2,A173,1,A192,A201,0,36-45
no account,15,existing paid,radio/TV,1213,A63,>=7 years,4,A93,A101,3,A122,47,A142,A152,1,A173,1,A192,A201,1,46-55
no account,18,existing paid,business,1568,A62,1-4 years,3,A92,A101,4,A122,24,A143,A151,1,A172,1,A191,A201,1,18-25
<0 DM,24,existing paid,others,1755,A61,>=7 years,4,A92,A103,4,A121,58,A143,A152,1,A172,1,A192,A201,1,56-65
<0 DM,10,existing paid,radio/TV,2315,A61,>=7 years,3,A93,A101,4,A121,52,A143,A152,1,A172,1,A191,A201,1,46-55
no account,12,critical/other,business,1412,A61,1-4 years,4,A92,A103,2,A121,29,A143,A152,2,A174,1,A192,A201,1,26-35
0-200 DM,18,critical/other,furniture/equipment,1295,A61,<1 year,4,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,1,26-35
0-200 DM,36,existing paid,education,12612,A62,1-4 years,1,A93,A101,4,A124,47,A143,A153,1,A173,2,A192,A201,0,46-55
<0 DM,18,existing paid,car (new),2249,A62,4-7 years,4,A93,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,1,26-35
<0 DM,12,no credits/all paid,repairs,1108,A61,4-7 years,4,A93,A101,3,A121,28,A143,A152,2,A173,1,A191,A201,0,26-35
no account,12,critical/other,radio/TV,618,A61,>=7 years,4,A93,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,1,56-65
<0 DM,12,critical/other,car (used),1409,A61,>=7 years,4,A93,A101,3,A121,54,A143,A152,1,A173,1,A191,A201,1,46-55
no account,12,critical/other,radio/TV,797,A65,>=7 years,4,A92,A101,3,A122,33,A141,A152,1,A172,2,A191,A201,0,26-35
>=200 DM,24,critical/other,furniture/equipment,3617,A65,>=7 years,4,A93,A102,4,A124,20,A143,A151,2,A173,1,A191,A201,1,18-25
0-200 DM,12,existing paid,car (new),1318,A64,>=7 years,4,A93,A101,4,A121,54,A143,A152,1,A173,1,A192,A201,1,46-55
0-200 DM,54,no credits/all paid,business,15945,A61,<1 year,3,A93,A101,4,A124,58,A143,A151,1,A173,1,A192,A201,0,56-65
no account,12,critical/other,education,2012,A65,4-7 years,4,A92,A101,2,A123,61,A143,A152,1,A173,1,A191,A201,1,56-65
0-200 DM,18,existing paid,business,2622,A62,1-4 years,4,A93,A101,4,A123,34,A143,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,36,critical/other,radio/TV,2337,A61,>=7 years,4,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,1,36-45
0-200 DM,20,delay paid,car (used),7057,A65,4-7 years,3,A93,A101,4,A122,36,A141,A151,2,A174,2,A192,A201,1,36-45
no account,24,existing paid,car (new),1469,A62,>=7 years,4,A94,A101,4,A121,41,A143,A151,1,A172,1,A191,A201,1,36-45
0-200 DM,36,existing paid,radio/TV,2323,A61,4-7 years,4,A93,A101,4,A123,24,A143,A151,1,A173,1,A191,A201,1,18-25
no account,6,delay paid,radio/TV,932,A61,1-4 years,3,A92,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,1,18-25
0-200 DM,9,critical/other,furniture/equipment,1919,A61,4-7 years,4,A93,A101,3,A123,35,A143,A151,1,A173,1,A192,A201,1,26-35
no account,12,existing paid,car (used),2445,A65,<1 year,2,A94,A101,4,A123,26,A143,A151,1,A173,1,A192,A201,1,26-35
0-200 DM,24,critical/other,others,11938,A61,1-4 years,2,A93,A102,3,A123,39,A143,A152,2,A174,2,A192,A201,0,36-45
no account,18,all paid,car (new),6458,A61,>=7 years,2,A93,A101,4,A124,39,A141,A152,2,A174,2,A192,A201,0,36-45
0-200 DM,12,existing paid,car (new),6078,A61,4-7 years,2,A93,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,1,26-35
<0 DM,24,existing paid,furniture/equipment,7721,A65,<1 year,1,A92,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,1,26-35
0-200 DM,14,existing paid,business,1410,A63,>=7 years,1,A94,A101,2,A121,35,A143,A152,1,A173,1,A192,A201,1,26-35
0-200 DM,6,delay paid,business,1449,A62,>=7 years,1,A91,A101,2,A123,31,A141,A152,2,A173,2,A191,A201,1,26-35
>=200 DM,15,existing paid,education,392,A61,<1 year,4,A92,A101,4,A122,23,A143,A151,1,A173,1,A192,A201,1,18-25
0-200 DM,18,existing paid,car (new),6260,A61,4-7 years,3,A93,A101,3,A121,28,A143,A151,1,A172,1,A191,A201,1,26-35
no account,36,critical/other,car (new),7855,A61,1-4 years,4,A92,A101,2,A121,25,A142,A152,2,A173,1,A192,A201,0,18-25
<0 DM,12,existing paid,radio/TV,1680,A63,>=7 years,3,A94,A101,1,A121,35,A143,A152,1,A173,1,A191,A201,1,26-35
no account,48,critical/other,radio/TV,3578,A65,>=7 years,4,A93,A101,1,A121,47,A143,A152,1,A173,1,A192,A201,1,46-55
<0 DM,42,existing paid,radio/TV,7174,A65,4-7 years,4,A92,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,0,26-35
<0 DM,10,critical/other,furniture/equipment,2132,A65,<1 year,2,A92,A102,3,A121,27,A143,A151,2,A173,1,A191,A202,1,26-35
<0 DM,33,critical/other,furniture/equipment,4281,A63,1-4 years,1,A92,A101,4,A123,23,A143,A152,2,A173,1,A191,A201,0,18-25
0-200 DM,12,critical/other,car (new),2366,A63,4-7 years,3,A91,A101,3,A123,36,A143,A152,1,A174,1,A192,A201,1,36-45
<0 DM,21,existing paid,radio/TV,1835,A61,1-4 years,3,A92,A101,2,A121,25,A143,A152,2,A173,1,A192,A201,0,18-25
no account,24,critical/other,car (used),3868,A61,>=7 years,4,A92,A101,2,A123,41,A143,A151,2,A174,1,A192,A201,1,36-45
no account,12,existing paid,furniture/equipment,1768,A61,1-4 years,3,A93,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,1,18-25
>=200 DM,10,critical/other,car (new),781,A61,>=7 years,4,A93,A101,4,A124,63,A143,A153,2,A173,1,A192,A201,1,56-65
0-200 DM,18,existing paid,furniture/equipment,1924,A65,<1 year,4,A92,A101,3,A121,27,A143,A151,1,A173,1,A191,A201,0,26-35
<0 DM,12,critical/other,car (new),2121,A61,1-4 years,4,A93,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,1,26-35
<0 DM,12,existing paid,radio/TV,701,A61,1-4 years,4,A94,A101,2,A121,40,A143,A152,1,A172,1,A191,A201,1,36-45
0-200 DM,12,existing paid,repairs,639,A61,1-4 years,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,0,26-35
0-200 DM,12,critical/other,car (used),1860,A61,unemployed,4,A93,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,1,26-35
<0 DM,12,critical/other,car (new),3499,A61,1-4 years,3,A92,A102,2,A121,29,A143,A152,2,A173,1,A191,A201,0,26-35
0-200 DM,48,existing paid,car (new),8487,A65,4-7 years,1,A92,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,1,18-25
<0 DM,36,delay paid,education,6887,A61,1-4 years,4,A93,A101,3,A122,29,A142,A152,1,A173,1,A192,A201,0,26-35
no account,15,existing paid,furniture/equipment,2708,A61,<1 year,2,A93,A101,3,A122,27,A141,A152,2,A172,1,A191,A201,1,26-35
no account,18,existing paid,furniture/equipment,1984,A61,1-4 years,4,A93,A101,4,A124,47,A141,A153,2,A173,1,A191,A201,1,46-55
no account,60,existing paid,radio/TV,10144,A62,4-7 years,2,A92,A101,4,A121,21,A143,A152,1,A173,1,A192,A201,1,18-25
no account,12,critical/other,radio/TV,1240,A65,>=7 years,4,A92,A101,2,A121,38,A143,A152,2,A173,1,A192,A201,1,36-45
no account,27,delay paid,car (used),8613,A64,1-4 years,2,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,26-35
0-200 DM,12,existing paid,radio/TV,766,A63,1-4 years,4,A93,A101,3,A121,66,A143,A152,1,A172,1,A191,A201,0,66+
0-200 DM,15,critical/other,radio/TV,2728,A65,4-7 years,4,A93,A103,2,A121,35,A141,A152,3,A173,1,A192,A201,1,26-35
>=200 DM,12,existing paid,radio/TV,1881,A61,1-4 years,2,A92,A101,2,A123,44,A143,A151,1,A172,1,A192,A201,1,36-45
>=200 DM,6,existing paid,car (new),709,A64,<1 year,2,A94,A101,2,A121,27,A143,A152,1,A171,1,A191,A202,1,26-35
0-200 DM,36,existing paid,radio/TV,4795,A61,<1 year,4,A92,A101,1,A124,30,A143,A152,1,A174,1,A192,A201,1,26-35
<0 DM,27,existing paid,radio/TV,3416,A61,1-4 years,3,A93,A101,2,A123,27,A143,A152,1,A174,1,A191,A201,1,26-35
<0 DM,18,existing paid,furniture/equipment,2462,A61,1-4 years,2,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,0,18-25
no account,21,critical/other,furniture/equipment,2288,A61,<1 year,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A192,A201,1,18-25
0-200 DM,48,all paid,business,3566,A62,4-7 years,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,1,26-35
<0 DM,6,critical/other,car (new),860,A61,>=7 years,1,A92,A101,4,A124,39,A143,A152,2,A173,1,A192,A201,1,36-45
no account,12,critical/other,car (new),682,A62,4-7 years,4,A92,A101,3,A123,51,A143,A152,2,A173,1,A192,A201,1,46-55
<0 DM,36,critical/other,furniture/equipment,5371,A61,1-4 years,3,A93,A103,2,A122,28,A143,A152,2,A173,1,A191,A201,1,26-35
no account,18,critical/other,radio/TV,1582,A64,>=7 years,4,A93,A101,4,A123,46,A143,A152,2,A173,1,A191,A201,1,46-55
no account,6,existing paid,radio/TV,1346,A62,>=7 years,2,A93,A101,4,A124,42,A141,A153,1,A173,2,A192,A201,1,36-45
no account,10,existing paid,radio/TV,1924,A61,1-4 years,1,A93,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,1,36-45
>=200 DM,36,existing paid,radio/TV,5848,A61,1-4 years,4,A93,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,1,18-25
0-200 DM,24,critical/other,car (used),7758,A64,>=7 years,2,A92,A101,4,A124,29,A143,A151,1,A173,1,A191,A201,1,26-35
0-200 DM,24,delay paid,business,6967,A62,4-7 years,4,A93,A101,4,A123,36,A143,A151,1,A174,1,A192,A201,1,36-45
<0 DM,12,existing paid,furniture/equipment,1282,A61,1-4 years,2,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,0,18-25
<0 DM,9,critical/other,repairs,1288,A62,>=7 years,3,A93,A103,4,A121,48,A143,A152,2,A173,2,A191,A202,1,46-55
<0 DM,12,all paid,retraining,339,A61,>=7 years,4,A94,A101,1,A123,45,A141,A152,1,A172,1,A191,A201,1,36-45
0-200 DM,24,existing paid,car (new),3512,A62,4-7 years,2,A93,A101,3,A123,38,A141,A152,2,A173,1,A192,A201,1,36-45
no account,6,critical/other,radio/TV,1898,A65,1-4 years,1,A93,A101,2,A121,34,A143,A152,2,A172,2,A191,A201,1,26-35
no account,24,critical/other,radio/TV,2872,A62,>=7 years,3,A93,A101,4,A121,36,A143,A152,1,A173,2,A192,A201,1,36-45
no account,18,critical/other,car (new),1055,A61,<1 year,4,A92,A101,1,A122,30,A143,A152,2,A173,1,A191,A201,1,26-35
no account,15,existing paid,domestic appliances,1262,A63,4-7 years,4,A93,A101,3,A122,36,A143,A152,2,A173,1,A192,A201,1,36-45
0-200 DM,10,existing paid,car (new),7308,A61,unemployed,2,A93,A101,4,A124,70,A141,A153,1,A174,1,A192,A201,1,66+
no account,36,existing paid,car (new),909,A63,>=7 years,4,A93,A101,4,A122,36,A143,A152,1,A173,1,A191,A201,1,36-45
no account,6,existing paid,furniture/equipment,2978,A63,1-4 years,1,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,1,26-35
<0 DM,18,existing paid,furniture/equipment,1131,A61,unemployed,4,A92,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,0,26-35
0-200 DM,11,existing paid,furniture/equipment,1577,A64,<1 year,4,A92,A101,1,A121,20,A143,A152,1,A173,1,A191,A201,1,18-25
no account,24,existing paid,furniture/equipment,3972,A61,4-7 years,2,A92,A101,4,A122,25,A143,A151,1,A173,1,A192,A201,1,18-25
0-200 DM,24,critical/other,business,1935,A61,>=7 years,4,A91,A101,4,A121,31,A143,A152,2,A173,1,A192,A201,0,26-35
<0 DM,15,no credits/all paid,car (new),950,A61,>=7 years,4,A93,A101,3,A123,33,A143,A151,2,A173,2,A191,A201,0,26-35
no account,12,existing paid,furniture/equipment,763,A61,1-4 years,4,A92,A101,1,A121,26,A143,A152,1,A173,1,A192,A201,1,26-35
0-200 DM,24,delay paid,furniture/equipment,2064,A61,unemployed,3,A92,A101,2,A122,34,A143,A152,1,A174,1,A192,A201,0,26-35
0-200 DM,8,existing paid,radio/TV,1414,A61,1-4 years,4,A93,A103,2,A121,33,A143,A152,1,A173,1,A191,A202,1,26-35
<0 DM,21,delay paid,education,3414,A61,<1 year,2,A93,A101,1,A122,26,A143,A152,2,A173,1,A191,A201,0,26-35
no account,30,all paid,car (used),7485,A65,unemployed,4,A92,A101,1,A121,53,A141,A152,1,A174,1,A192,A201,0,46-55
<0 DM,12,existing paid,furniture/equipment,2577,A61,1-4 years,2,A91,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,1,36-45
<0 DM,6,critical/other,radio/TV,338,A63,>=7 years,4,A93,A101,4,A123,52,A143,A152,2,A173,1,A191,A201,1,46-55
no account,12,existing paid,radio/TV,1963,A61,4-7 years,4,A93,A101,2,A123,31,A143,A151,2,A174,2,A192,A201,1,26-35
<0 DM,21,critical/other,car (new),571,A61,>=7 years,4,A93,A101,4,A121,65,A143,A152,2,A173,1,A191,A201,1,56-65
no account,36,delay paid,business,9572,A61,<1 year,1,A91,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,0,26-35
0-200 DM,36,delay paid,business,4455,A61,1-4 years,2,A91,A101,2,A121,30,A142,A152,2,A174,1,A192,A201,0,26-35
<0 DM,21,all paid,car (new),1647,A65,1-4 years,4,A93,A101,2,A122,40,A143,A152,2,A172,2,A191,A201,0,36-45
no account,24,critical/other,furniture/equipment,3777,A64,1-4 years,4,A93,A101,4,A121,50,A143,A152,1,A173,1,A192,A201,1,46-55
0-200 DM,18,critical/other,car (new),884,A61,>=7 years,4,A93,A101,4,A123,36,A141,A152,1,A173,2,A192,A201,0,36-45
no account,15,critical/other,radio/TV,1360,A61,1-4 years,4,A93,A101,2,A122,31,A143,A152,2,A173,1,A191,A201,1,26-35
0-200 DM,9,all paid,car (used),5129,A61,>=7 years,2,A92,A101,4,A124,74,A141,A153,1,A174,2,A192,A201,0,66+
0-200 DM,16,critical/other,car (new),1175,A61,unemployed,2,A93,A101,3,A123,68,A143,A153,3,A171,1,A192,A201,1,66+
<0 DM,12,existing paid,radio/TV,674,A62,4-7 years,4,A94,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,0,18-25
0-200 DM,18,no credits/all paid,furniture/equipment,3244,A61,1-4 years,1,A92,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,1,26-35
no account,24,existing paid,business,4591,A64,1-4 years,2,A93,A101,3,A122,54,A143,A152,3,A174,1,A192,A201,0,46-55
0-200 DM,48,no credits/all paid,business,3844,A62,4-7 years,4,A93,A101,4,A124,34,A143,A153,1,A172,2,A191,A201,0,26-35
0-200 DM,27,existing paid,business,3915,A61,1-4 years,4,A93,A101,2,A123,36,A143,A152,1,A173,2,A192,A201,0,36-45
no account,6,existing paid,radio/TV,2108,A61,4-7 years,2,A94,A101,2,A121,29,A143,A151,1,A173,1,A191,A201,1,26-35
0-200 DM,45,existing paid,radio/TV,3031,A62,1-4 years,4,A93,A103,4,A122,21,A143,A151,1,A173,1,A191,A201,0,18-25
0-200 DM,9,critical/other,education,1501,A61,>=7 years,2,A92,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,0,26-35
no account,6,critical/other,radio/TV,1382,A61,1-4 years,1,A92,A101,1,A123,28,A143,A152,2,A173,1,A192,A201,1,26-35
0-200 DM,12,existing paid,furniture/equipment,951,A62,<1 year,4,A92,A101,4,A123,27,A141,A151,4,A173,1,A191,A201,0,26-35
0-200 DM,24,existing paid,car (used),2760,A65,>=7 years,4,A93,A101,4,A124,36,A141,A153,1,A173,1,A192,A201,1,36-45
